@relation TimeBasedFeatures-15s-TOR-NonTOR-85.arff

@attribute total_fiat numeric
@attribute total_biat numeric
@attribute min_fiat numeric
@attribute min_biat numeric
@attribute class1 {TOR,NONTOR}

@data
109091,62004,10634620,10412309,NONTOR
86748,40746,9315360,9179769,NONTOR
93924,39827,11333225,11428172,NONTOR
91429,36998,5135434,5226355,NONTOR
-1,-1,-1,-1,NONTOR
92685,36526,7757273,7976783,NONTOR
2421839,2415114,2421839,2415114,NONTOR
126525,125852,11372553,11148461,NONTOR
140605,36280,5623188,5637452,NONTOR
-1,-1,-1,-1,NONTOR
80165,34451,11379162,11381215,NONTOR
-1,-1,-1,-1,NONTOR
94161,38886,6055010,5933258,NONTOR
-1,-1,-1,-1,NONTOR
200584,30683,200584,30683,NONTOR
2251882,2261782,2251882,2261782,NONTOR
82029,27318,14177573,14347106,NONTOR
92837,32107,8630561,8502792,NONTOR
-1,-1,-1,-1,NONTOR
87554,34797,6309653,6171497,NONTOR
88135,38101,7853466,7721098,NONTOR
125127,130132,11137228,11360060,NONTOR
-1,-1,-1,-1,NONTOR
86494,34316,6722821,6723623,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
84850,36994,8026385,8026761,NONTOR
-1,-1,-1,-1,NONTOR
91033,37013,5899829,6069488,NONTOR
-1,-1,-1,-1,NONTOR
81055,32333,4498201,4498937,NONTOR
140611,143528,140611,143528,NONTOR
-1,-1,-1,-1,NONTOR
59,68,4334113,4334821,NONTOR
42,83,3016624,3067722,NONTOR
64,122,4076219,4076843,NONTOR
511456,512104,3437889,3438148,NONTOR
49,36,6936363,6986928,NONTOR
36505,-1,36505,-1,NONTOR
53,46,2379560,2429654,NONTOR
119,76,12770892,12772008,NONTOR
2088433,2087704,5026686,5027225,NONTOR
77,42,9780134,9754709,NONTOR
54,70,5013175,5012365,NONTOR
42,17,5175628,5225733,NONTOR
1322141,1323059,3722020,3721982,NONTOR
62,39,151072,124840,NONTOR
138,6233,3578692,3570912,NONTOR
1006,39,75236,106646,NONTOR
86,743,148831,97318,NONTOR
41,22,5046034,5097533,NONTOR
577,-1,577,-1,NONTOR
80,91,5011339,5010834,NONTOR
62,73,4853508,4879700,NONTOR
445009,444008,4562370,4562924,NONTOR
65,26,4649722,4700373,NONTOR
35409,-1,35409,-1,NONTOR
1022,-1,1022,-1,NONTOR
69,68,2822526,2823001,NONTOR
101852,102117,2714049,2714537,NONTOR
1735479,1735973,3254110,3253591,NONTOR
42,85,9067535,9043838,NONTOR
66,272,5529909,5580195,NONTOR
330560,331838,5000367,4999517,NONTOR
61,112,4528420,4529915,NONTOR
132,91,2899873,2899298,NONTOR
75,118,4872034,4898194,NONTOR
40,26,4116091,4166707,NONTOR
64,76,6626440,6649898,NONTOR
91,67,12330324,12306202,NONTOR
50,11,9741151,9791735,NONTOR
40,98,4497035,4496771,NONTOR
56,59,10063380,10114365,NONTOR
962,59,74655,95423,NONTOR
46,70,4999500,4999378,NONTOR
65,30,3454611,3505031,NONTOR
3918,180,31806,64954,NONTOR
25355,163,65893,91405,NONTOR
-1,52,-1,52,NONTOR
628,-1,628,-1,NONTOR
55,67,4033449,4033134,NONTOR
62,70,3083738,3083565,NONTOR
68,181,4146382,4172770,NONTOR
57,68,3105697,3104787,NONTOR
721748,721668,2378211,2378511,NONTOR
44,15,4748159,4798204,NONTOR
47,66,4997209,4997057,NONTOR
43,60,5563815,5591430,NONTOR
49,63,3400053,3451854,NONTOR
52,105,5012832,5014060,NONTOR
25201,45,74846,106255,NONTOR
65,67,4847128,4845871,NONTOR
59,39,2574040,2600407,NONTOR
53,38,2735820,2787565,NONTOR
42,61,4176458,4176415,NONTOR
66,44,4908526,4934644,NONTOR
698,139,28024,65202,NONTOR
-1,126,-1,126,NONTOR
681,-1,681,-1,NONTOR
52,17,6686984,6713217,NONTOR
190,16616,5707506,5683588,NONTOR
52,36,6977117,7027071,NONTOR
56,69,4922333,4922126,NONTOR
46,61,4369266,4419562,NONTOR
78,105,4994743,4994808,NONTOR
57,69,2989686,2963772,NONTOR
39,24,8223078,8273550,NONTOR
44,66,7414237,7439085,NONTOR
63,17,4783717,4833925,NONTOR
57,86,2711201,2710480,NONTOR
37809,-1,37809,-1,NONTOR
31386,-1,31386,-1,NONTOR
52,15,41258,66470,NONTOR
54,24,2324590,2351145,NONTOR
123,79,2387,47956,NONTOR
30081,-1,30081,-1,NONTOR
956,44,75672,107954,NONTOR
29247,-1,29247,-1,NONTOR
86,8,2453838,2428653,NONTOR
28948,-1,28948,-1,NONTOR
29679,-1,29679,-1,NONTOR
29644,-1,29644,-1,NONTOR
19,11,1147378,954915,NONTOR
4,19,2060758,2098352,NONTOR
19,63,6582939,6442842,NONTOR
11,18,188293,77181,NONTOR
41,140579,11857267,11666231,NONTOR
190041,148915,190041,148915,NONTOR
5,20,2389919,2527565,NONTOR
1427269,1424882,3181275,3180409,NONTOR
1561106,1561802,3448821,3447147,NONTOR
42,18,6575292,6549861,NONTOR
97,56,3871023,3871168,NONTOR
48,32,4510617,4562952,NONTOR
4936413,4936506,5017025,5017796,NONTOR
46,22,3704728,3756337,NONTOR
4980661,4979299,5027764,5030386,NONTOR
47,42,3866279,3917668,NONTOR
3040956,3040902,5010992,5010527,NONTOR
47,80,3520473,3572214,NONTOR
59,40,6609001,6635318,NONTOR
4919942,4919072,5103658,5103311,NONTOR
46,38,4898244,4949151,NONTOR
89121,91797,5005619,5005749,NONTOR
45,38,4776085,4826243,NONTOR
4997930,4996785,5000193,5001966,NONTOR
48,17,3541292,3593379,NONTOR
398,115,5006578,4998498,NONTOR
5000901,5001726,5000901,5001726,NONTOR
45,30,4893094,4944218,NONTOR
46,696,4468193,4519854,NONTOR
5014510,5013673,7370944,7462028,NONTOR
50,18,4106834,4157496,NONTOR
5000704,4999670,5020385,5022058,NONTOR
67,68,3244282,3297380,NONTOR
4982915,4981446,5017465,5017896,NONTOR
45,24,4786110,4812353,NONTOR
3291224,3291404,5006230,5008393,NONTOR
30076,-1,30076,-1,NONTOR
53,31,2975716,2950479,NONTOR
147,51,210800,212042,NONTOR
5,0,7633229,7769106,NONTOR
10,0,3551963,3540588,NONTOR
12,0,3280777,3466185,NONTOR
3577,0,10446055,10435844,NONTOR
45659,1,416855,96265,NONTOR
11,0,6630985,6766805,NONTOR
41588,0,2553352,2735483,NONTOR
5,0,5420655,5434155,NONTOR
4158,14178,193062,143446,NONTOR
3959,0,4213160,4400841,NONTOR
5,0,13482318,13521779,NONTOR
3448,0,3907977,4095582,NONTOR
2928,0,4499885,4535797,NONTOR
10,0,6909974,7045678,NONTOR
6,0,5171188,5216230,NONTOR
3979,0,4191387,4381039,NONTOR
3753,0,7152146,7190427,NONTOR
2282,1,8697743,8698926,NONTOR
5,0,7549229,7732271,NONTOR
3372,0,4719271,4757675,NONTOR
3813,0,6117154,6111017,NONTOR
5,0,7837601,7831965,NONTOR
3476,11716,5982628,6026689,NONTOR
3932,0,6126961,6262813,NONTOR
9,0,14590837,176386,NONTOR
5,0,4555018,4547644,NONTOR
103,1,2263138,2306555,NONTOR
4042,0,5215785,5353494,NONTOR
12,0,5168158,5208089,NONTOR
11,0,4644389,4665144,NONTOR
-1,-1,-1,-1,NONTOR
752243,526734,4850145,5076547,NONTOR
208563,40628,5138145,5086849,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
69930,68337,11071060,11288580,NONTOR
60174,68704,11297780,11289080,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
128473,128670,9293270,9076235,NONTOR
92461,36555,5294719,5295309,NONTOR
-1,-1,-1,-1,NONTOR
1583790,42120,5299678,5248259,NONTOR
209146,41402,5081203,5247408,NONTOR
128406,128586,13989033,13988803,NONTOR
90618,39918,13953549,13953537,NONTOR
-1,-1,-1,-1,NONTOR
123476,124878,7302647,7303027,NONTOR
89564,42596,7212964,7303799,NONTOR
129243,129509,3641300,3858271,NONTOR
90915,38603,3987785,3858690,NONTOR
4092208,4092536,4092208,4092536,NONTOR
4093898,4093596,4093898,4093596,NONTOR
-1,-1,-1,-1,NONTOR
3765331,3765294,3765331,3765294,NONTOR
3765289,3764707,3765289,3764707,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
5884291,5884091,5884291,5884091,NONTOR
-1,-1,-1,-1,NONTOR
142804,105,142804,105,NONTOR
-1,-1,-1,-1,NONTOR
208853,42450,208853,42450,NONTOR
-1,-1,-1,-1,NONTOR
7,32,4131545,3996661,NONTOR
9,37,5548016,5498623,NONTOR
14,51,3350555,3356389,NONTOR
10,38,11862132,11867677,NONTOR
-1,-1,-1,-1,NONTOR
9,37,2528434,2343107,NONTOR
13,41,4188044,4002311,NONTOR
14,52,5325150,5149079,NONTOR
147,3560,138301,184729,NONTOR
14,49,6461158,6419812,NONTOR
9,40,5194324,5009574,NONTOR
9,31,4574220,4523467,NONTOR
15,53,2188743,9707770,NONTOR
14,52,5368536,5323681,NONTOR
14,54,5032349,4982002,NONTOR
15,49,5925598,5885454,NONTOR
15,67,5869374,5685594,NONTOR
15,46,8694340,8508983,NONTOR
9,54,4804439,4762617,NONTOR
14,48,8395256,8260594,NONTOR
9,38,8796203,8610751,NONTOR
14,53,6177516,6132740,NONTOR
12146,3799,2489625,2443885,NONTOR
43,50361,75234,134751,NONTOR
9,39,4745671,4694558,NONTOR
5,38,2481151,2435511,NONTOR
8,51,3373981,3192650,NONTOR
14,52,5089943,5077372,NONTOR
9,52,1570639,1404375,NONTOR
106,53,3984742,3985409,NONTOR
35,20,3436940,3488206,NONTOR
152,40478,5025294,5025083,NONTOR
51,80,3508167,3482982,NONTOR
171,69,2953425,2951549,NONTOR
44,22797,49511,29473,NONTOR
38,30,10733358,10708460,NONTOR
97,71,5011305,5009589,NONTOR
47,24,3827189,3853471,NONTOR
4978473,4975553,5017614,5020704,NONTOR
52,43,3989959,4040278,NONTOR
5000830,5001676,5356181,5356140,NONTOR
29541,-1,29541,-1,NONTOR
44,145,1574733,1625161,NONTOR
74,59,5011052,5013676,NONTOR
73464,-1,73464,-1,NONTOR
44,1,2748960,2799589,NONTOR
0,81,3468261,3443013,NONTOR
1,70,4075043,4074743,NONTOR
64,0,3905947,3956434,NONTOR
504979,504639,4412351,4412530,NONTOR
66,168,4836640,4886754,NONTOR
917664,917697,4053708,4053214,NONTOR
90,3164,3199978,3174952,NONTOR
1,57,2835097,2809946,NONTOR
43,0,4894922,4945469,NONTOR
4990856,4996596,5002435,5003146,NONTOR
70,109,3561289,3612855,NONTOR
5004643,4999913,5006603,5004565,NONTOR
76,73,3441775,3491883,NONTOR
63,1,2672866,2699220,NONTOR
2,75,5005557,5005707,NONTOR
55,0,7770082,7745704,NONTOR
2,308,4943639,4943631,NONTOR
66,1,4860318,4911072,NONTOR
1,90,4756966,4758137,NONTOR
41,1,3197268,3248444,NONTOR
1,73,3634068,3632845,NONTOR
63,1,4546079,4521854,NONTOR
2550712,2550489,4997927,4998375,NONTOR
57,1,2971719,3021975,NONTOR
5003882,5006166,5008375,5007755,NONTOR
1,87,9060843,9060655,NONTOR
11930,178311,4999327,5024014,NONTOR
67,1,4931076,4981758,NONTOR
1,70,3996125,3996060,NONTOR
44,92,8188053,8163501,NONTOR
1,67,2340563,2341863,NONTOR
36,0,4437111,4463311,NONTOR
0,57,3262955,3237998,NONTOR
45,16575,2987468,3038343,NONTOR
42,0,9459268,9510270,NONTOR
79658,80470,5005101,5005443,NONTOR
45,0,4381978,4434180,NONTOR
1,75,9419718,9419931,NONTOR
58,1,14402911,14452955,NONTOR
46,0,5360509,5410654,NONTOR
1,69,3926093,3926161,NONTOR
46,0,4665034,4716189,NONTOR
1,98,3022377,3023112,NONTOR
45,1,3606402,3656842,NONTOR
1,101,3106578,3106508,NONTOR
65,0,4415595,4467860,NONTOR
207,4030,2987123,2987427,NONTOR
63,1,4884129,4934684,NONTOR
1,71,4216846,4216927,NONTOR
52,0,4299562,4351512,NONTOR
1,74,3389202,3388527,NONTOR
50,93,10184250,10245520,NONTOR
473151,473733,4540105,4538948,NONTOR
44,0,6228867,6280768,NONTOR
1,67,2544882,2545501,NONTOR
2,132,3789270,3789065,NONTOR
63,1,9344013,9394452,NONTOR
2,75,5051457,5051680,NONTOR
42,1,7702146,7679028,NONTOR
120313,120817,5705405,5705554,NONTOR
44,0,4879874,4930199,NONTOR
2295157,2295861,5011370,5011912,NONTOR
1,81,4862394,4862719,NONTOR
75,117,1517907,1569147,NONTOR
1,72,4217181,4192499,NONTOR
41,1,7191469,7242372,NONTOR
47,1,9020907,9076019,NONTOR
1,72,9702736,9701877,NONTOR
1,74,2774384,2775903,NONTOR
48,0,2752866,2804196,NONTOR
89,0,28637,28447,NONTOR
4217,77,1718267,1719283,NONTOR
110,18180,68045,18180,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
50764,53071,3890443,4111643,NONTOR
60533,60208,2512171,2511377,NONTOR
-1,-1,-1,-1,NONTOR
136636,137441,2919060,3142328,NONTOR
-1,-1,-1,-1,NONTOR
92311,37716,3276986,3144572,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
130345,130545,3025018,3250246,NONTOR
102367,46886,3373722,3253410,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
218864,43549,218864,43549,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
4533,19940,5478826,5476020,NONTOR
26378,30918,5322319,5321946,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
55498,55142,4320603,4321006,NONTOR
9835056,9612803,9835056,9612803,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
55282,55341,4929514,4929173,NONTOR
732,55418,9390192,9466966,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
1,61540,57880,61540,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
60318,73789,9305980,9226508,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
1899,19845,12221111,12220026,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
58161,57648,6417305,6339930,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
463,57674,7443889,7464237,NONTOR
63625,64044,6100906,6101369,NONTOR
-1,-1,-1,-1,NONTOR
3064972,2987561,3064972,2987561,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
1126,29927,6814261,6863034,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
51130,51513,12739393,12739900,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
10893276,10971921,10893276,10971921,NONTOR
588,57501,2176118,2196084,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
55245,55185,9761075,9761385,NONTOR
57242,57568,749406,750691,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
837,60228,8365404,8385040,NONTOR
55186,55055,6010074,6010607,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
52835,52977,5169257,5169196,NONTOR
-1,-1,-1,-1,NONTOR
1563,19507,4325688,4383729,NONTOR
78911,59,78911,59,NONTOR
40929,548,7840681,7845211,NONTOR
1051,20245,7860851,7787806,NONTOR
19634,7022,7700742,7701481,NONTOR
662,51717,7647884,7647616,NONTOR
68216,68211,4001963,4001847,NONTOR
20001,758,4000610,4001714,NONTOR
1068,20342,2984975,3038506,NONTOR
19905,81,6128599,6127730,NONTOR
392,20396,6127692,6127049,NONTOR
20166,3290,9836964,9838512,NONTOR
51748,53223,2706301,2781288,NONTOR
230,20428,7488526,7487817,NONTOR
54687,55050,2403996,2330822,NONTOR
-1,-1,-1,-1,NONTOR
20240,1763,2458749,2404040,NONTOR
495261,420057,3778302,3853241,NONTOR
596,52869,4917461,4918043,NONTOR
57618,58741,57618,58741,NONTOR
-1,-1,-1,-1,NONTOR
20066,884,55517,54086,NONTOR
-1,-1,-1,-1,NONTOR
134449,93,134449,93,NONTOR
65,50,3656834,3656699,NONTOR
40,43,2599363,2651183,NONTOR
50,28,3657118,3709551,NONTOR
655476,655193,5006291,5006979,NONTOR
1365515,1365107,5004291,5006094,NONTOR
48,27,4817426,4868998,NONTOR
4967282,4966363,5002804,5004198,NONTOR
70,30,4653415,4705110,NONTOR
68,49,4987631,4987871,NONTOR
48,18232,1961780,2014634,NONTOR
38,39,5397669,5375965,NONTOR
50,30,2709331,2761098,NONTOR
4810214,4808978,5007886,5007194,NONTOR
60,48,4496820,4548798,NONTOR
4999577,5000545,5005685,5004898,NONTOR
48,26,4550990,4602896,NONTOR
4993389,4993058,5007210,5006637,NONTOR
46,32,4896620,4947236,NONTOR
107,48,4998953,4999369,NONTOR
460422,460830,5010958,5010456,NONTOR
44,78,86519,24914,NONTOR
1234910,1236311,5001084,5000614,NONTOR
39,56,8487614,8463338,NONTOR
110,75,7349220,7348856,NONTOR
5000244,5000963,5022334,5022845,NONTOR
45,70,4899015,4874638,NONTOR
4966013,4965909,5010385,5011246,NONTOR
50,84,3127611,3179970,NONTOR
4908584,4909234,5016587,5082070,NONTOR
47,39,2785310,2836266,NONTOR
4996011,4995930,5004925,5003155,NONTOR
57,26,3463902,3439540,NONTOR
64,26,4880042,4930412,NONTOR
4988799,4987736,5017453,5016771,NONTOR
70,73,3806950,3858669,NONTOR
5008817,5008255,5015252,5015101,NONTOR
48,54,4047962,4098733,NONTOR
4990807,4990677,5001908,4999722,NONTOR
46,30,4278571,4330796,NONTOR
2838596,2837790,4992716,5010899,NONTOR
57,65,3069470,3121029,NONTOR
4973504,4972783,5041341,5042547,NONTOR
45,51,4895444,4947010,NONTOR
66,40,4895364,4947151,NONTOR
145,95,4946562,4983225,NONTOR
48,57,5767546,5818562,NONTOR
2498301,2587088,4986882,4986368,NONTOR
70,31,3461958,3512978,NONTOR
775980,774474,5009384,5009385,NONTOR
49,18,4898812,4953883,NONTOR
5000135,5000683,5000337,5001692,NONTOR
47,32,4918515,4946109,NONTOR
4970548,4968941,5039496,5041440,NONTOR
5003681,5004124,5021562,5021140,NONTOR
51,57,4129570,4181088,NONTOR
5000816,5000731,5004402,5002594,NONTOR
58,90,4888149,4940247,NONTOR
89659,4996849,5011478,5011906,NONTOR
54,40,4417506,4472057,NONTOR
1443207,1441604,5024443,5024311,NONTOR
47,74,4890471,4943865,NONTOR
2084957,2085286,5020413,5021210,NONTOR
68,66,3708008,3761252,NONTOR
5003374,5004518,5009585,5008136,NONTOR
48,18,4884022,4935936,NONTOR
913690,912266,4992689,4994491,NONTOR
46,26,4883453,4935060,NONTOR
89977,4140987,5000994,5002199,NONTOR
27,49,4339783,4314866,NONTOR
91,18,29334,52185,NONTOR
50863,-1,50863,-1,NONTOR
30331,-1,30331,-1,NONTOR
-1,-1,-1,-1,NONTOR
61,119,42733,20253,NONTOR
29285,-1,29285,-1,NONTOR
29942,-1,29942,-1,NONTOR
40734,28467,54127,28467,NONTOR
29230,-1,29230,-1,NONTOR
961,2917,11468299,11538960,NONTOR
29890,-1,29890,-1,NONTOR
29555,-1,29555,-1,NONTOR
69,20018,961125,989051,NONTOR
51,110,58758,51171,NONTOR
8499516,8426220,8499516,8426220,NONTOR
-1,-1,-1,-1,NONTOR
53704,53435,53704,53435,NONTOR
-1,-1,-1,-1,NONTOR
28026,6843,10910866,10911800,NONTOR
42762,44019,4038530,3962984,NONTOR
24116,9508,8458630,8460616,NONTOR
3307607,3378621,3307607,3378621,NONTOR
-1,-1,-1,-1,NONTOR
55012,1876,3399700,3379068,NONTOR
-1,-1,-1,-1,NONTOR
958989,968603,12563855,12488330,NONTOR
-1,-1,-1,-1,NONTOR
53089,568,4849256,4829432,NONTOR
-1,-1,-1,-1,NONTOR
54182,54658,2057513,2131424,NONTOR
-1,-1,-1,-1,NONTOR
20959,913,2185644,2131637,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
5999869,5994453,5999869,5994453,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
8469279,8469534,8469279,8469534,NONTOR
-1,-1,-1,-1,NONTOR
53145,696,4927979,4927962,NONTOR
967339,967335,8317194,8316657,NONTOR
56793,10839,8316104,8317057,NONTOR
-1,-1,-1,-1,NONTOR
134096,90,134096,90,NONTOR
20179,742,3578979,3581902,NONTOR
53035,53800,3582015,3581313,NONTOR
-1,-1,-1,-1,NONTOR
133955,69,133955,69,NONTOR
25487,501,5449798,5480464,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
55259,34,5327552,5323239,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
12427,222,6930228,7007302,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
13938,279,4319834,4320757,NONTOR
46846,52562,4478729,4395594,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
17457,147,4928723,4929558,NONTOR
-1,-1,-1,-1,NONTOR
17395,402,9316223,9389599,NONTOR
62495,60608,62495,60608,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
67337,3096,9321870,9294747,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
62459,57504,11037842,11116056,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
30439,628,6501331,6418416,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
27225,487,6104035,6101839,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
55145,1414,3084708,3064171,NONTOR
62474,58481,6736398,6812619,NONTOR
-1,-1,-1,-1,NONTOR
26767,551,12688160,12685850,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
713,76,1972638,2047794,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
1089173,13817292,13902021,13817292,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
